ID,num_users,num_riders,num_drivers,num_SR,num_RT,num_TR,num_matches,num_SR,num_RT,num_TR,num_1,num_2,num_3,Mr_ave,Mr_std,Md_ave,Md_std,Mu_ave,Mu_std,time_feasible,appr_obj,appr_time,appr_iter,appr_theta,appr_matches,appr_matched_r,appr_matched_d,appr_SR,appr_RT,appr_TR,appr_1,appr_2,appr_3,broken_ratio,broken,broken_r,broken_d,broken_min,broken_max,broken_ave,broken_std,r_min,r_max,r_ave,r_std,d_min,d_max,d_ave,d_std
1,1070,714,356,96,381,237,38097,3089,22207,12801,34278,3440,379,59.23669467787115,169.1599817859246,107.01404494382022,159.36939397300796,75.13271028037383,167.4864903329706,0.0978,12284.4165,0.0629,17,798,332,380,332,207,79,46,291,34,7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1135,852,283,125,475,252,8620,1212,5897,1511,8391,229,0,10.386150234741784,39.4035036419836,30.459363957597173,46.523457462822954,15.391189427312776,42.19712823907464,0.0244,5293.843900000001,0.0187,12,465,242,263,242,145,59,38,221,21,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1215,810,405,120,439,251,30248,2439,20145,7664,28754,1379,115,39.32962962962963,123.25925196981817,74.68641975308643,115.95954142577341,51.11522633744856,122.01871902642645,0.0695,12702.054700000004,0.059,15,919,365,406,365,226,88,51,326,37,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1451,1089,362,172,610,307,44194,3348,29876,10970,39683,4151,360,45.05509641873278,132.15197269873775,122.0828729281768,165.4343480623601,64.27222605099931,145.07265099477053,0.1166,13815.315699999997,0.0638,15,857,348,432,348,204,90,54,271,70,7,0.29,1,1,1,0.19,11.8,5.99,5.8,11.8,11.8,11.8,0.0,0.19,0.19,0.19,0.0
5,1639,1093,546,146,627,320,75033,5105,53935,15993,64401,9162,1470,79.72095150960659,273.32754161402596,137.42307692307693,185.42912940408848,98.94325808419768,249.02708518101682,0.2064,19757.591699999983,0.1889,19,1422,514,612,514,323,131,60,424,82,8,1.17,2,4,2,0.0,4.59,1.76,1.76,0.0,1.1,0.56,0.46,3.74,4.59,4.17,0.43
6,1782,1337,445,187,721,429,109028,7061,71530,30437,89659,17210,2159,97.64846671652954,329.40486756555964,245.0067415730337,328.46362471899374,134.44668911335577,335.2929322439101,0.3528,18809.333299999995,0.2957,27,1349,433,574,433,267,105,61,313,99,21,0.69,2,2,2,0.01,2.27,0.88,0.95,0.01,0.01,0.01,0.0,1.26,2.27,1.76,0.5
7,1828,1219,609,178,666,375,62353,6184,42605,13564,55249,6235,869,57.6915504511895,158.7612527529715,102.38587848932677,128.8493367868159,72.58150984682713,150.93981812402373,0.2633,14388.3544,0.2011,21,1552,573,699,573,345,144,84,458,104,11,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1950,1300,650,171,727,402,67226,6293,43553,17380,57607,8925,694,59.645384615384614,203.96922754766348,103.42461538461538,108.7406144926388,74.23846153846154,179.17324965659614,0.239,14989.754099999991,0.2548,23,1601,607,722,607,403,130,74,500,99,8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2177,1633,544,237,909,487,77646,6629,55101,15916,65072,10974,1600,56.22780159216167,205.89349927119062,142.7316176470588,208.8559559214288,77.84382177308223,210.00423131485638,0.2733,22057.757900000015,0.1866,19,1376,527,694,527,353,113,61,379,129,19,0.38,1,2,1,0.06,4.85,2.36,1.96,0.06,2.15,1.11,1.05,4.85,4.85,4.85,0.0
10,2228,1486,742,199,846,441,73574,7709,49550,16315,60565,10338,2671,60.063257065948854,171.06246262600735,99.15633423180593,124.64624803781486,73.08258527827648,158.21096522426708,0.2574,17676.4306,0.3112,24,1803,669,843,669,440,140,89,517,130,22,0.3,1,2,1,1.77,11.06,4.99,4.3,2.13,11.06,6.6,4.46,1.77,1.77,1.77,0.0
11,2371,1779,592,250,977,552,192944,13450,127612,51882,152115,31685,9144,136.54693648116918,414.8886675066092,325.9189189189189,434.35905737437497,183.83002952340786,427.76111818523555,0.8421,27279.367599999987,0.5959,29,1977,587,843,587,368,137,82,376,166,45,0.51,2,3,2,0.41,10.74,4.03,3.95,0.41,10.74,4.39,4.54,0.75,6.25,3.5,2.75
12,2415,1610,805,215,902,493,61646,5911,42336,13399,49364,10138,2144,47.24968944099379,243.3991247487858,76.57888198757765,99.40746338998916,57.02608695652174,207.31745329716912,0.182,17809.16910000001,0.4331,31,1763,727,865,727,469,167,91,610,96,21,0.55,3,2,3,0.21,3.19,1.61,1.14,0.21,0.65,0.43,0.22,1.37,3.19,2.4,0.76
13,2710,2033,677,291,1143,599,96987,10396,64269,22322,70867,19218,6902,63.949335956714215,244.25467282138717,143.2599704579025,199.58383675894225,83.76236162361623,236.40256253324014,0.4381,18632.325800000002,0.5493,34,1904,658,888,658,445,131,82,461,164,33,0.61,2,2,2,0.0,1.73,0.78,0.63,0.0,0.86,0.43,0.43,0.5,1.73,1.12,0.61
14,2845,2134,711,298,1215,621,124083,12107,85695,26281,82302,29253,12528,83.59512652296158,395.28666960384874,174.51898734177215,314.5886414868805,106.31810193321617,378.7940438201949,0.6382,20326.276999999995,0.3609,18,1875,698,952,698,460,155,83,483,176,39,0.57,2,4,2,0.37,24.99,6.55,8.99,0.62,24.99,9.28,9.92,0.37,1.77,1.07,0.7
15,2944,2208,736,295,1272,641,130014,13231,85446,31337,97934,25757,6323,76.2758152173913,323.63175686693273,176.64945652173913,257.2023489685155,101.36922554347827,311.41681930122803,0.5893,32272.43050000001,0.6603,29,2248,715,1010,715,477,157,81,463,209,43,1.4,5,11,5,0.0,29.4,3.07,7.52,0.0,29.4,3.95,8.91,0.26,2.75,1.14,0.86
16,3051,2289,762,334,1258,697,343458,21231,233116,89111,244338,75005,24115,203.88510266491917,631.5779765023448,450.73228346456693,594.8403471218786,265.5362176335628,631.7083460973038,1.5176,35961.65090000005,2.082,49,2850,760,1134,760,483,170,107,442,262,56,0.66,2,4,2,0.02,3.67,1.37,1.31,0.02,1.73,0.59,0.67,2.23,3.67,2.95,0.72
17,3145,2359,786,325,1314,720,246725,15033,175884,55808,186144,46980,13601,136.03518440016956,431.8928507626978,313.8994910941476,432.7512038132033,180.4871224165342,438.9161153938767,1.0339,34767.66900000001,1.4927,44,2618,772,1071,772,487,197,88,528,189,55,0.65,2,4,2,0.07,3.89,0.76,1.4,0.11,3.89,1.1,1.61,0.07,0.11,0.09,0.02
18,3358,2519,839,362,1417,740,336085,19271,253394,63420,225379,78075,32631,190.32235013894402,912.1948639028403,400.57806912991657,592.3052363530899,242.85497319833235,848.609594751165,1.5412,38545.5605,2.0238,33,2929,835,1203,835,507,211,117,524,254,57,0.24,1,1,1,0.08,0.13,0.1,0.02,0.08,0.08,0.08,0.0,0.13,0.13,0.13,0.0
19,3389,2260,1129,328,1271,661,121166,12798,79628,28740,90956,21614,8596,70.78407079646017,275.9392444885564,107.3215234720992,148.5277447277898,82.95603422838596,241.70716991786153,0.4725,26551.291099999955,0.9615,35,2618,1019,1259,1019,680,209,130,795,208,16,0.2,1,2,1,1.22,5.31,2.96,1.72,1.22,2.34,1.78,0.56,5.31,5.31,5.31,0.0
20,3465,2310,1155,320,1319,671,403094,30493,294095,78506,272913,98929,31252,244.38398268398268,703.9492456392621,348.9991341991342,415.54820100507925,279.25569985569985,624.7841249001546,2.4891,32716.214300000014,3.5364,52,3970,1103,1579,1103,707,258,138,695,340,68,0.27,1,2,1,0.01,0.69,0.26,0.3,0.01,0.07,0.04,0.03,0.69,0.69,0.69,0.0
21,3744,2496,1248,340,1387,769,241009,26102,162994,51913,172378,50252,18379,131.4178685897436,502.34980420667307,193.11618589743588,266.61251075645885,151.98397435897436,439.06365168917347,1.3825,32336.46450000001,3.0413,55,3662,1163,1545,1163,814,211,138,831,282,50,0.86,4,7,4,0.01,4.49,1.04,1.24,0.01,1.61,0.66,0.66,0.34,4.49,1.7,1.67
22,3867,2578,1289,321,1433,824,154763,17196,102322,35245,115514,30120,9129,78.79790535298682,313.3610296054125,120.0643910007758,172.9418249867549,92.55340056891647,275.3388375997173,0.7185,30698.51770000003,1.2917,36,3107,1151,1468,1151,776,236,139,873,239,39,0.87,7,6,7,0.01,6.94,1.9,2.14,0.01,0.65,0.15,0.23,0.75,6.94,3.41,1.88
23,3986,2990,996,393,1661,936,244051,23805,160445,59801,177733,50607,15711,109.05685618729098,355.880310539346,245.03112449799198,383.1519014090286,143.0333667837431,367.63084906560937,1.4188,46272.55539999998,2.132,48,3453,976,1446,976,660,204,112,584,314,78,0.51,3,8,3,0.02,25.37,6.46,8.48,0.02,25.37,8.43,9.21,0.8,1.47,1.22,0.3
24,4195,2797,1398,376,1562,859,658432,37113,496848,124471,457982,149345,51105,325.3439399356453,1235.2758162445773,470.9814020028612,682.0139785173228,373.87818831942786,1084.9496316232983,3.1539,59234.27869999993,7.801,64,4650,1339,1837,1339,894,287,158,904,372,63,0.45,3,6,3,0.01,14.06,3.57,5.2,0.01,14.06,4.84,5.97,0.27,1.45,1.03,0.54
25,4252,2835,1417,394,1584,857,656584,38005,478370,140209,410533,162790,83261,347.75873015873015,1509.4433082669107,463.3620324629499,694.2982278027911,386.28410159924744,1297.2045681497996,3.0078,59274.686799999916,13.0787,81,5038,1349,1863,1349,889,290,170,902,380,67,0.82,10,9,9,0.03,20.1,4.56,4.98,0.03,20.1,4.4,6.4,1.34,11.81,4.71,2.93
26,4540,3405,1135,491,1866,1048,412343,35780,234955,141608,213304,100599,98440,208.464610866373,883.9735198766177,363.2977973568282,768.7967045914954,247.1729074889868,859.2519873775395,2.4137,36445.98590000001,12.2744,127,4321,1115,1683,1115,762,223,130,644,374,97,0.81,3,7,3,0.02,10.59,2.74,3.05,0.02,10.59,3.08,3.54,1.09,3.31,1.95,0.98
27,4675,3507,1168,468,1957,1082,865845,49129,607819,208897,394849,278448,192548,436.09609352723123,1660.303961491447,741.3056506849315,1035.1456336073147,512.3495187165776,1533.9711788413142,5.3998,40936.005399999936,14.2085,78,4920,1162,1925,1162,748,256,158,556,449,157,0.34,2,5,2,0.01,22.65,3.7,7.78,0.01,22.65,4.66,9.0,0.19,2.4,1.29,1.1
28,4799,3600,1199,516,2037,1047,408593,40196,285949,82448,249551,109109,49933,171.54666666666665,704.887771240532,340.77814845704756,499.8373154749376,213.82808918524694,663.7135289449812,2.7969,38852.21059999999,3.6389,46,4025,1179,1819,1179,827,234,118,659,400,120,0.34,2,2,2,0.01,3.16,1.15,1.2,0.01,3.16,1.59,1.57,0.56,0.87,0.72,0.15
29,4802,3202,1600,410,1820,972,497581,42788,350185,104608,323365,109678,64538,229.96096189881325,1237.4306628087438,310.988125,452.55295876171704,256.9587671803415,1044.3821047907434,2.7684,67303.15920000005,16.9819,105,5743,1487,2095,1487,1030,302,155,954,458,75,0.61,4,6,4,0.01,17.16,2.94,4.91,0.01,2.93,1.08,1.12,0.52,17.16,5.74,6.74
30,4966,3725,1241,482,2139,1104,812052,46564,575039,190449,507008,216501,88543,323.66147651006713,1365.6642406857377,654.3529411764706,825.3247749921029,406.30104712041884,1260.8280850757162,4.1937,62441.76299999995,12.7566,74,5277,1240,1947,1240,803,276,161,666,441,133,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
