ID,num_users,num_riders,num_drivers,num_SR,num_RT,num_TR,num_matches,num_SR,num_RT,num_TR,num_1,num_2,num_3,time_feasible,exact_obj,exact_time,exact_iter,exact_theta,exact_matches,exact_matched_r,exact_matched_d,exact_SR,exact_RT,exact_TR,exact_1,exact_2,exact_3
1,1070,714,356,96,381,237,38097,3089,22207,12801,34278,3440,379,0.0956,12235.363,0.114,16,741,331,378,331,204,80,47,290,35,6
2,1135,852,283,125,475,252,8620,1212,5897,1511,8391,229,0,0.0251,5262.1958,0.0124,8,449,241,262,241,146,57,38,220,21,0
3,1215,810,405,120,439,251,30248,2439,20145,7664,28754,1379,115,0.0662,12765.7896,0.0675,15,879,365,410,365,226,87,52,323,39,3
4,1451,1089,362,172,610,307,44194,3348,29876,10970,39683,4151,360,0.1124,13785.8205,0.1715,19,826,349,431,349,205,92,52,273,70,6
5,1639,1093,546,146,627,320,75033,5105,53935,15993,64401,9162,1470,0.2125,0,0.3059,12,1311,0,0,0,0,0,0,0,0,0
6,1782,1337,445,187,721,429,109028,7061,71530,30437,89659,17210,2159,0.3459,18954.7976,0.7973,27,1226,433,580,433,268,104,61,306,107,20
7,1828,1219,609,178,666,375,62353,6184,42605,13564,55249,6235,869,0.2561,14473.0578,0.2464,18,1451,576,702,576,346,148,82,461,104,11
8,1950,1300,650,171,727,402,67226,6293,43553,17380,57607,8925,694,0.2334,15150.2775,0.476,21,1556,607,726,607,402,130,75,499,97,11
9,2177,1633,544,237,909,487,77646,6629,55101,15916,65072,10974,1600,0.2733,0,0.0469,2,800,0,0,0,0,0,0,0,0,0
10,2228,1486,742,199,846,441,73574,7709,49550,16315,60565,10338,2671,0.2549,17755.3744,0.5989,25,1694,674,844,674,443,143,88,525,128,21
11,2371,1779,592,250,977,552,192944,13450,127612,51882,152115,31685,9144,0.8201,0,9.3061,92,2477,0,0,0,0,0,0,0,0,0
12,2415,1610,805,215,902,493,61646,5911,42336,13399,49364,10138,2144,0.1811,17932.3186,0.5668,22,1665,727,867,727,467,170,90,608,98,21
13,2710,2033,677,291,1143,599,96987,10396,64269,22322,70867,19218,6902,0.4312,18632.9706,1.6711,38,1702,655,889,655,441,133,81,454,168,33
14,2845,2134,711,298,1215,621,124083,12107,85695,26281,82302,29253,12528,0.626,0,27.3282,139,2433,0,0,0,0,0,0,0,0,0
15,2944,2208,736,295,1272,641,130014,13231,85446,31337,97934,25757,6323,0.59,0,2.8396,39,2206,0,0,0,0,0,0,0,0,0
16,3051,2289,762,334,1258,697,343458,21231,233116,89111,244338,75005,24115,1.5071,0,8.9128,43,2915,0,0,0,0,0,0,0,0,0
17,3145,2359,786,325,1314,720,246725,15033,175884,55808,186144,46980,13601,1.0614,35112.0023,4.2471,47,2447,776,1082,776,488,196,92,531,184,61
18,3358,2519,839,362,1417,740,336085,19271,253394,63420,225379,78075,32631,1.5676,38562.0436,7.1513,41,2670,835,1202,835,510,211,114,522,259,54
19,3389,2260,1129,328,1271,661,121166,12798,79628,28740,90956,21614,8596,0.4734,26552.3481,4.4317,75,2553,1014,1259,1014,681,207,126,788,207,19
20,3465,2310,1155,320,1319,671,403094,30493,294095,78506,272913,98929,31252,2.5273,32765.0395,7.5301,43,3589,1105,1586,1105,704,260,141,695,339,71
21,3744,2496,1248,340,1387,769,241009,26102,162994,51913,172378,50252,18379,1.3701,0,1.1313,8,2691,0,0,0,0,0,0,0,0,0
22,3867,2578,1289,321,1433,824,154763,17196,102322,35245,115514,30120,9129,0.7106,0,2.9569,31,2949,0,0,0,0,0,0,0,0,0
23,3986,2990,996,393,1661,936,244051,23805,160445,59801,177733,50607,15711,1.4086,46619.8371,29.0527,180,3448,978,1457,978,657,206,115,583,311,84
24,4195,2797,1398,376,1562,859,658432,37113,496848,124471,457982,149345,51105,3.1774,0,10.171,24,4173,0,0,0,0,0,0,0,0,0
25,4252,2835,1417,394,1584,857,656584,38005,478370,140209,410533,162790,83261,2.9752,59479.6377,27.6158,53,4438,1347,1865,1347,892,286,169,900,376,71
26,4540,3405,1135,491,1866,1048,412343,35780,234955,141608,213304,100599,98440,2.3938,0,4.3135,18,3339,0,0,0,0,0,0,0,0,0
27,4675,3507,1168,468,1957,1082,865845,49129,607819,208897,394849,278448,192548,5.3365,41243.4129,104.3174,87,4508,1164,1949,1164,750,256,158,548,447,169
28,4799,3600,1199,516,2037,1047,408593,40196,285949,82448,249551,109109,49933,2.7778,38934.7671,8.7812,39,3568,1180,1823,1180,826,233,121,656,405,119
29,4802,3202,1600,410,1820,972,497581,42788,350185,104608,323365,109678,64538,2.7422,0,21.1708,36,4862,0,0,0,0,0,0,0,0,0
30,4966,3725,1241,482,2139,1104,812052,46564,575039,190449,507008,216501,88543,4.1586,62570.767,22.6949,44,4429,1239,1949,1239,805,275,159,666,436,137
