ID,num_users,num_riders,num_drivers,num_SR,num_RT,num_TR,feas_time,feas_matches,feas_SR,feas_RT,feas_TR,feas_1,feas_2,feas_3,gap,opt_obj,t_model,opt_time,opt_matched_r,opt_matched_d,opt_matches,opt_SR,opt_RT,opt_TR,opt_1,opt_2,opt_3
1,1070,714,356,96,381,237,0.0956,38097,3089,22207,12801,34278,3440,379,9.736248409664045e-05,12666.07,0.3844,1.0509,393,342,342,204,86,52,296,41,5
2,1135,852,283,125,475,252,0.0251,8620,1212,5897,1511,8391,229,0,0.0,5495.11,0.0281,0.0435,272,250,250,147,64,39,228,22,0
3,1215,810,405,120,439,251,0.0662,30248,2439,20145,7664,28754,1379,115,9.724855731134558e-05,13155.29,0.2289,0.5713,422,374,374,217,97,60,330,40,4
4,1451,1089,362,172,610,307,0.1124,44194,3348,29876,10970,39683,4151,360,0.0,14185.35,0.4032,1.0267,441,355,355,198,99,58,276,72,7
5,1639,1093,546,146,627,320,0.2125,75033,5105,53935,15993,64401,9162,1470,-1.0,0.0,1.3901,3.606,0,0,0,0,0,0,0,0,0
6,1782,1337,445,187,721,429,0.3459,109028,7061,71530,30437,89659,17210,2159,5.191146331475696e-05,19603.85,2.5804,19.1064,605,444,444,269,109,66,309,109,26
7,1828,1219,609,178,666,375,0.2561,62353,6184,42605,13564,55249,6235,869,0.0,14991.74,0.5874,1.8009,729,593,593,354,154,85,468,114,11
8,1950,1300,650,171,727,402,0.2334,67226,6293,43553,17380,57607,8925,694,3.4602646723452675e-05,15679.92,0.8161,2.2978,754,626,626,411,140,75,511,102,13
9,2177,1633,544,237,909,487,0.2733,77646,6629,55101,15916,65072,10974,1600,-1.0,0.0,1.2338,2.1573,0,0,0,0,0,0,0,0,0
10,2228,1486,742,199,846,441,0.2549,73574,7709,49550,16315,60565,10338,2671,3.700200015587622e-05,18559.81,0.7769,2.9577,885,705,705,455,162,88,546,138,21
11,2371,1779,592,250,977,552,0.8201,192944,13450,127612,51882,152115,31685,9144,-1.0,0.0,6.1919,143.5735,0,0,0,0,0,0,0,0,0
12,2415,1610,805,215,902,493,0.1811,61646,5911,42336,13399,49364,10138,2144,7.14775737086592e-05,18584.85,1.2233,10.3631,898,756,756,477,179,100,633,104,19
13,2710,2033,677,291,1143,599,0.4312,96987,10396,64269,22322,70867,19218,6902,6.927747489406862e-05,19331.18,1.8309,53.7357,922,665,665,436,145,84,444,185,36
14,2845,2134,711,298,1215,621,0.626,124083,12107,85695,26281,82302,29253,12528,-1.0,0.0,5.173,70.3545,0,0,0,0,0,0,0,0,0
15,2944,2208,736,295,1272,641,0.59,130014,13231,85446,31337,97934,25757,6323,-1.0,0.0,3.9458,48.4354,0,0,0,0,0,0,0,0,0
